,Title,Author,Main Genre,Sub Genre,Type,Price,Rating,Number_people_rated,URLs,Rating category
22,unscripted conversation life ci conversation life cinema,Abhijat Joshi,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,423.0,4.5,309.0,https://www.amazon.in/Unscripted-Conversations-Vidhu-Vinod-Chopra/dp/0670094587/ref=zg_bs_g_1318054031_d_sccl_23/000-0000000-0000000?psc=1,Good
23,fantastic beast secret dumbledore complete screenplay hardcover rowling j k kloves steve,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,587.0,4.6,1280.0,https://www.amazon.in/FANTASTIC-BEASTS-DUMBLEDORE-SCREENPLAY-Hardcover/dp/1408717433/ref=zg_bs_g_1318054031_d_sccl_24/000-0000000-0000000?psc=1,Good
24,conversation mani ratnam pb,Baradwaj Rangan,"Arts, Film & Photography",Cinema & Broadcast,Paperback,389.0,4.6,305.0,https://www.amazon.in/Conversations-Mani-Ratnam-Baradwaj-Rangan/dp/0143421107/ref=zg_bs_g_1318054031_d_sccl_25/000-0000000-0000000?psc=1,Good
25,hitchcock,Francois Truffaut,"Arts, Film & Photography",Cinema & Broadcast,Paperback,1463.0,4.7,787.0,https://www.amazon.in/Hitchcock-Francois-Truffaut/dp/0571333699/ref=zg_bs_g_1318054031_d_sccl_26/000-0000000-0000000?psc=1,Good
26,indian cinema short introduction short introduction,Ashish Rajadhyaksha,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,176.32,4.2,22.0,https://www.amazon.in/Indian-Cinema-Short-Introduction-Introductions-ebook/dp/B01GGF2FKU/ref=zg_bs_g_1318054031_d_sccl_27/000-0000000-0000000?psc=1,Good
27,basu chatterji middle road ci middle road cinema,Anirudha Bhattacharjee,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,413.0,4.8,22.0,https://www.amazon.in/Basu-Chatterji-Middle-Road-Ci/dp/0670096253/ref=zg_bs_g_1318054031_d_sccl_28/000-0000000-0000000?psc=1,Good
29,life play memoir,Girish Karnad,"Arts, Film & Photography",Cinema & Broadcast,Paperback,344.0,4.6,168.0,https://www.amazon.in/This-Life-at-Play-Memoirs/dp/9354895840/ref=zg_bs_g_1318054031_d_sccl_30/000-0000000-0000000?psc=1,Good
30,supernatural quiz book 500 question answer supernatural 500 question answer supernatural season 1,Light Bulb Quizzes,"Arts, Film & Photography",Cinema & Broadcast,Paperback,404.0,5.0,4.0,https://www.amazon.in/Supernatural-Quiz-Book-Questions-Answers/dp/0993203000/ref=zg_bs_g_1318054031_d_sccl_1/000-0000000-0000000?psc=1,Good
31,avatar last airbender art animated series second edition,Michael Dante DiMartino,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,2148.0,4.9,1615.0,https://www.amazon.in/Avatar-Last-Airbender-Animated-Second/dp/1506721699/ref=zg_bs_g_1318054031_d_sccl_2/000-0000000-0000000?psc=1,Good
32,directing film,David Mamet,"Arts, Film & Photography",Cinema & Broadcast,Paperback,608.0,4.4,848.0,https://www.amazon.in/Directing-Film-David-Mamet/dp/0140127224/ref=zg_bs_g_1318054031_d_sccl_3/000-0000000-0000000?psc=1,Good
33,magic minalima celebrating graphic design studio behind harry potter fantastic beast film,MinaLima,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,1709.83,4.8,595.0,https://www.amazon.in/Magic-MinaLima/dp/0008505500/ref=zg_bs_g_1318054031_d_sccl_4/000-0000000-0000000?psc=1,Good
34,illusion life,Frank Thomas,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4079.0,4.9,1903.0,https://www.amazon.in/ILLUSION-LIFE-DISNEY-ANIMATION-Editions/dp/0786860707/ref=zg_bs_g_1318054031_d_sccl_5/000-0000000-0000000?psc=1,Good
35,sara aakash paperback rajendra yadav,Rajendra Yadav,"Arts, Film & Photography",Cinema & Broadcast,Paperback,131.0,4.4,177.0,https://www.amazon.in/Sara-Aakash-Rajendra-Yadav/dp/8183612539/ref=zg_bs_g_1318054031_d_sccl_6/000-0000000-0000000?psc=1,Good
36,nutshell technique crack secret successful screenwriting,Jill Chamberlain,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,448.35,4.6,593.0,https://www.amazon.in/Nutshell-Technique-Secret-Successful-Screenwriting-ebook/dp/B0170CKMMG/ref=zg_bs_g_1318054031_d_sccl_7/000-0000000-0000000?psc=1,Good
37,pixar storytelling rule effective storytelling based pixar greatest film,Dean Movshovitz,"Arts, Film & Photography",Cinema & Broadcast,Paperback,1441.0,4.4,778.0,https://www.amazon.in/Pixar-Storytelling-Effective-Pixars-Greatest/dp/1717736408/ref=zg_bs_g_1318054031_d_sccl_8/000-0000000-0000000?psc=1,Good
38,madhubala real life story general press,Manju Gupta,"Arts, Film & Photography",Cinema & Broadcast,Paperback,135.0,3.6,400.0,https://www.amazon.in/Madhubala-Her-Real-Life-Story/dp/9380914962/ref=zg_bs_g_1318054031_d_sccl_9/000-0000000-0000000?psc=1,Good
39,jiya jale story song,Gulzar (In conversation with Nasreen Munni Kabir),"Arts, Film & Photography",Cinema & Broadcast,Hardcover,385.0,4.6,289.0,https://www.amazon.in/Gulzar-conversation-Nasreen-Munni-Kabir/dp/938807095X/ref=zg_bs_g_1318054031_d_sccl_10/000-0000000-0000000?psc=1,Good
40,,Will Smith,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,1093.0,4.6,22078.0,https://www.amazon.in/Audible-Will/dp/B097N8BQ7W/ref=zg_bs_g_1318054031_d_sccl_11/000-0000000-0000000?psc=1,Good
41,mahanati savitri venditera samragni mahanati savitri venditera samragni,pallavi rg,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,250.0,4.5,22.0,https://www.amazon.in/Mahanati-savitri-venditera-samragni/dp/B00ZU57BU2/ref=zg_bs_g_1318054031_d_sccl_12/000-0000000-0000000?psc=1,Good
43,winter kiss roseford café escapist romantic festive read fay keenan,Fay Keenan,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,192.04,4.4,1423.0,https://www.amazon.in/Winter-Kisses-at-Roseford-Caf%C3%A9-ebook/dp/B09VB37ZQZ/ref=zg_bs_g_1318054031_d_sccl_14/000-0000000-0000000?psc=1,Good
44,sara aakash patkatha hindi edition,Rajendra Yadav & Basu Chatterji,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,147.0,4.4,177.0,https://www.amazon.in/Aakash-Patkatha-Hindi-Rajendra-Chatterji-ebook/dp/B07J4ZT2SH/ref=zg_bs_g_1318054031_d_sccl_15/000-0000000-0000000?psc=1,Good
45,bondhu father friend india list,Kunal Sen,"Arts, Film & Photography",Cinema & Broadcast,Paperback,346.0,4.4,14.0,https://www.amazon.in/Bondhu-Father-Friend-India-List/dp/180309317X/ref=zg_bs_g_1318054031_d_sccl_16/000-0000000-0000000?psc=1,Good
46,batman begin screenplay including storyboards exclusive interview,Christopher Nolan,"Arts, Film & Photography",Cinema & Broadcast,Paperback,1596.0,4.5,46.0,https://www.amazon.in/Batman-Begins-Christopher-Nolan/dp/0571229948/ref=zg_bs_g_1318054031_d_sccl_17/000-0000000-0000000?psc=1,Good
47,science interstellar,Kip Thorne,"Arts, Film & Photography",Cinema & Broadcast,Paperback,1795.0,4.7,2048.0,https://www.amazon.in/Science-Interstellar-Kip-Thorne/dp/0393351378/ref=zg_bs_g_1318054031_d_sccl_18/000-0000000-0000000?psc=1,Good
48,story map dark knight trilogy batman begin dark knight dark knight rise,Daniel Calvisi,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,81.42,4.2,9.0,https://www.amazon.in/STORY-MAPS-Knight-Trilogy-Batman-ebook/dp/B00GBJBB0C/ref=zg_bs_g_1318054031_d_sccl_19/000-0000000-0000000?psc=1,Good
49,animator survival kit,Richard E. Williams,"Arts, Film & Photography",Cinema & Broadcast,Paperback,2435.0,4.8,6242.0,https://www.amazon.in/Animators-Survival-Kit-Richard-Williams/dp/0571238343/ref=zg_bs_g_1318054031_d_sccl_20/000-0000000-0000000?psc=1,Good
50,beyond story 10 year record bts,BTS and Myeongseok Kang,"Arts, Film & Photography",Music,Hardcover,999.0,4.7,5422.0,https://www.amazon.in/Beyond-Story-10-Year-Record-BTS/dp/103503154X/ref=zg_bs_g_1318059031_d_sccl_1/000-0000000-0000000?psc=1,Good
51,artist way,Julia Cameron,"Arts, Film & Photography",Music,Paperback,519.0,4.5,10871.0,https://www.amazon.in/ARTISTS-WAY-Julia-Cameron/dp/1788164296/ref=zg_bs_g_1318059031_d_sccl_2/000-0000000-0000000?psc=1,Good
52,electronic keyboard exam piece technical work 2019 2022 grade 1,Trinity College London Press,"Arts, Film & Photography",Music,Sheet music,801.0,4.6,642.0,https://www.amazon.in/Trinity-Electronic-Keyboard-Technical-2019-2022/dp/0857367781/ref=zg_bs_g_1318059031_d_sccl_3/000-0000000-0000000?psc=1,Good
53,malibu rising,Taylor Jenkins Reid,"Arts, Film & Photography",Music,Paperback,279.0,4.2,70056.0,https://www.amazon.in/Malibu-Rising-SUNDAY-BESTSELLER-TIKTOK/dp/1529157145/ref=zg_bs_g_1318059031_d_sccl_4/000-0000000-0000000?psc=1,Good
54,six string entertainment pvt ltd blank music manuscript book 12 stave 32 page 16 sheet,SIX STRING MUSIC,"Arts, Film & Photography",Music,Paperback,249.0,4.4,259.0,https://www.amazon.in/Music-manuscript-book-12-Stave/dp/B08CSWMZ13/ref=zg_bs_g_1318059031_d_sccl_5/000-0000000-0000000?psc=1,Good
55,piano 2021 2023 grade 1,Trinity College London,"Arts, Film & Photography",Music,Sheet music,599.0,4.5,878.0,https://www.amazon.in/Piano-Exam-Pieces-Exercises-2021-2023/dp/0857369156/ref=zg_bs_g_1318059031_d_sccl_6/000-0000000-0000000?psc=1,Good
56,trinity college london piano exam piece plus exercise 2021 2023 initial,Trinity College London,"Arts, Film & Photography",Music,Sheet music,765.0,4.6,317.0,https://www.amazon.in/Piano-Exam-Pieces-Exercises-2021-2023/dp/0857369148/ref=zg_bs_g_1318059031_d_sccl_7/000-0000000-0000000?psc=1,Good
57,trinity college london electronic keyboard exam piece technical work 2019 2022 initial grade technical work initial grade,Joanna Clarke,"Arts, Film & Photography",Music,Sheet music,679.0,4.4,662.0,https://www.amazon.in/Trinity-Electronic-Keyboard-Technical-2019-2022/dp/0857367773/ref=zg_bs_g_1318059031_d_sccl_8/000-0000000-0000000?psc=1,Good
58,trinity college london electronic keyboard exam piece technical work 2019 2022 grade 3,Trinity College London Press,"Arts, Film & Photography",Music,Sheet music,975.84,4.6,237.0,https://www.amazon.in/Trinity-Electronic-Keyboard-Technical-2019-2022/dp/0857367803/ref=zg_bs_g_1318059031_d_sccl_9/000-0000000-0000000?psc=1,Good
59,trinity college london piano exam piece plus exercise 2023 grade 2 12 piece trinity college london exam 2023,Trinity College London,"Arts, Film & Photography",Music,Sheet music,923.0,4.4,7.0,https://www.amazon.in/Trinity-College-London-Pieces-Exercises/dp/1804903124/ref=zg_bs_g_1318059031_d_sccl_10/000-0000000-0000000?psc=1,Good
60,john thompson easiest piano course part 1 book part 1 book,John Thompson,"Arts, Film & Photography",Music,Paperback,585.0,4.5,5471.0,https://www.amazon.in/John-Thompsons-Easiest-Piano-Course/dp/0877180121/ref=zg_bs_g_1318059031_d_sccl_11/000-0000000-0000000?psc=1,Good
61,trinity college london piano exam piece plus exercise 2023 grade 3 extended edition 21 piece trinity college london exam 2023,Trinity College London,"Arts, Film & Photography",Music,Sheet music,1913.0,4.6,14.0,https://www.amazon.in/Trinity-College-London-Pieces-Exercises/dp/1804903329/ref=zg_bs_g_1318059031_d_sccl_12/000-0000000-0000000?psc=1,Good
62,trinity college london acoustic guitar exam piece 2020 2023 initial grade 2 initial grade 2,Trinity College London,"Arts, Film & Photography",Music,Sheet music,2139.09,4.5,379.0,https://www.amazon.in/Trinity-College-London-Acoustic-2020-2023/dp/0857368958/ref=zg_bs_g_1318059031_d_sccl_13/000-0000000-0000000?psc=1,Good
63,six string entertainment pvt ltd music manuscript book 12 stave 100 page 50 sheet leaf,SIX STRING MUSIC,"Arts, Film & Photography",Music,Paperback,350.0,4.4,100.0,https://www.amazon.in/Music-manuscript-Book-12-stave/dp/8194718554/ref=zg_bs_g_1318059031_d_sccl_14/000-0000000-0000000?psc=1,Good
64,rome charming new rom com author tiktok sensation cheat sheet,Sarah Adams,"Arts, Film & Photography",Music,Paperback,435.0,4.2,6960.0,https://www.amazon.in/When-Rome-charming-rom-com-sensation/dp/1472297059/ref=zg_bs_g_1318059031_d_sccl_15/000-0000000-0000000?psc=1,Good
65,john thompson modern course piano first grade book first grade english first grade book something new every lesson,John Thompson,"Arts, Film & Photography",Music,Paperback,600.0,4.7,2992.0,https://www.amazon.in/John-Thompsons-Modern-Course-Piano/dp/0877180059/ref=zg_bs_g_1318059031_d_sccl_16/000-0000000-0000000?psc=1,Good
66,theory music workbook grade 1 2007 ursula moray williams gobbolino little wooden horse,Trinity College London,"Arts, Film & Photography",Music,Sheet music,810.51,4.6,990.0,https://www.amazon.in/Theory-Music-Workbook-Trinity-Guildhall/dp/0857360000/ref=zg_bs_g_1318059031_d_sccl_17/000-0000000-0000000?psc=1,Good
67,lekin,Edited by Dr. Kumar Vishwas Jon (Jaun Elia),"Arts, Film & Photography",Music,Paperback,232.0,4.4,84.0,https://www.amazon.in/Lekin-Edited-Kumar-Vishwas-Jaun/dp/9390678587/ref=zg_bs_g_1318059031_d_sccl_18/000-0000000-0000000?psc=1,Good
68,electronic keyboard exam piece technical work 2019 2022 grade 2,Trinity College London Press,"Arts, Film & Photography",Music,Sheet music,802.0,4.6,383.0,https://www.amazon.in/Trinity-Electronic-Keyboard-Technical-2019-2022/dp/085736779X/ref=zg_bs_g_1318059031_d_sccl_19/000-0000000-0000000?psc=1,Good
69,alfred basic piano library prep course lesson book level b,Willard Palmer,"Arts, Film & Photography",Music,Paperback,580.0,4.8,769.0,https://www.amazon.in/Alfreds-Basic-Piano-Library-Course/dp/0882848224/ref=zg_bs_g_1318059031_d_sccl_20/000-0000000-0000000?psc=1,Good
70,sangeeta bala padam varnam part 2,Giri,"Arts, Film & Photography",Music,Paperback,194.0,4.6,291.0,https://www.amazon.in/Sangeeta-Bala-Padam-Varnam-Part/dp/8179505286/ref=zg_bs_g_1318059031_d_sccl_21/000-0000000-0000000?psc=1,Good
71,standard wirebound manuscript paper green cover,Hal Leonard,"Arts, Film & Photography",Music,Spiral-bound,451.0,4.7,9115.0,https://www.amazon.in/Standard-Wire-Bound-Manuscript-Paper/dp/0881884995/ref=zg_bs_g_1318059031_d_sccl_22/000-0000000-0000000?psc=1,Good
72,sangeeta bala padam varnam part 2 hardcover,Giri,"Arts, Film & Photography",Music,Hardcover,220.0,4.8,59.0,https://www.amazon.in/Sangeeta-Bala-Padam-Varnam-Hardcover/dp/8179508781/ref=zg_bs_g_1318059031_d_sccl_23/000-0000000-0000000?psc=1,Good
73,cheat sheet tiktok made buy friend lover rom com hit sensation,Sarah Adams,"Arts, Film & Photography",Music,Paperback,413.0,4.2,17341.0,https://www.amazon.in/Cheat-Sheet-friends-lovers-sensation/dp/1472297032/ref=zg_bs_g_1318059031_d_sccl_24/000-0000000-0000000?psc=1,Good
74,trinity college london piano exam piece plus exercise 2023 grade 1 12 piece trinity college london exam 2023,Trinity College London,"Arts, Film & Photography",Music,Sheet music,924.0,4.8,12.0,https://www.amazon.in/Trinity-College-London-Pieces-Exercises/dp/1804903108/ref=zg_bs_g_1318059031_d_sccl_25/000-0000000-0000000?psc=1,Good
75,kid,Patti Smith,"Arts, Film & Photography",Music,Paperback,760.0,4.5,9371.0,https://www.amazon.in/Just-Kids-Patti-Smith/dp/0060936223/ref=zg_bs_g_1318059031_d_sccl_26/000-0000000-0000000?psc=1,Good
76,daisy jones six,Taylor Jenkins Reid,"Arts, Film & Photography",Music,Paperback,334.0,4.3,82376.0,https://www.amazon.in/Daisy-Jones-Six-most-novel/dp/1787462145/ref=zg_bs_g_1318059031_d_sccl_27/000-0000000-0000000?psc=1,Good
77,hindustani sangeet paddhati kramik pustak malika part 1,Pandit Vishnu Narayan Bhatkhande,"Arts, Film & Photography",Music,Hardcover,140.0,4.1,96.0,https://www.amazon.in/Hindustani-Sangeet-Paddhati-Kramik-Pustak/dp/8185057125/ref=zg_bs_g_1318059031_d_sccl_28/000-0000000-0000000?psc=1,Good
78,trinity college london electronic keyboard exam piece technical work 2019 2022 grade 4,Trinity College London,"Arts, Film & Photography",Music,Sheet music,903.0,4.7,173.0,https://www.amazon.in/Trinity-Electronic-Keyboard-Technical-2019-2022/dp/0857367811/ref=zg_bs_g_1318059031_d_sccl_29/000-0000000-0000000?psc=1,Good
79,raag parichay part 1 2 3 4 combo set 4 book,Pt. Harishchandra Shrivastava,"Arts, Film & Photography",Music,Paperback,700.0,4.5,1080.0,https://www.amazon.in/Raag-parichay-Harish-Chandra-Shrivastava/dp/B00LEANUUC/ref=zg_bs_g_1318059031_d_sccl_30/000-0000000-0000000?psc=1,Good
80,kotha sangeeta vidyadarpanam,Sri Ekha Subba Rao,"Arts, Film & Photography",Music,Paperback,458.0,4.4,47.0,https://www.amazon.in/Kotha-Sangeeta-Vidyadarpanam-Ekha-Subba/dp/B00KID2JBM/ref=zg_bs_g_1318059031_d_sccl_1/000-0000000-0000000?psc=1,Good
81,john thompson easiest piano course part 2 book part 2 book,John Thompson,"Arts, Film & Photography",Music,Paperback,495.0,4.7,1743.0,https://www.amazon.in/John-Thompsons-Easiest-Piano-Course/dp/087718013X/ref=zg_bs_g_1318059031_d_sccl_2/000-0000000-0000000?psc=1,Good
82,alfred basic adult piano course lesson book bk 1,Willard A Palmer,"Arts, Film & Photography",Music,Paperback,1121.0,4.7,4243.0,https://www.amazon.in/Alfreds-Basic-Adult-Piano-Course/dp/0882846167/ref=zg_bs_g_1318059031_d_sccl_3/000-0000000-0000000?psc=1,Good
83,discovering music theory abrsm grade 1 workbook,ABRSM,"Arts, Film & Photography",Music,Sheet music,850.0,4.7,1505.0,https://www.amazon.in/Discovering-Music-Theory-Workbook-workbooks/dp/1786013452/ref=zg_bs_g_1318059031_d_sccl_4/000-0000000-0000000?psc=1,Good
84,sanchita bollywood song notation book 2 hindi,Sanchita Pandey,"Arts, Film & Photography",Music,Paperback,500.0,4.5,15.0,https://www.amazon.in/Sanchitas-Bollywood-Song-Notations-Hindi/dp/1636406882/ref=zg_bs_g_1318059031_d_sccl_5/000-0000000-0000000?psc=1,Good
85,j ya jale story song,Nasreen Munni Kabir Gulzar,"Arts, Film & Photography",Music,Paperback,289.0,4.6,289.0,https://www.amazon.in/YA-JALE-STORIES-SONGS/dp/9354473687/ref=zg_bs_g_1318059031_d_sccl_6/000-0000000-0000000?psc=1,Good
86,violin scale arpeggio study initial grade 8 2016,Trinity College London,"Arts, Film & Photography",Music,Sheet music,1484.0,4.7,246.0,https://www.amazon.in/Arpeggios-Studies-Initial-Grade-Trinity-Repertoire/dp/0857364316/ref=zg_bs_g_1318059031_d_sccl_7/000-0000000-0000000?psc=1,Good
87,net sangeet,Dr. Tejsingh Taak,"Arts, Film & Photography",Music,Paperback,295.0,4.4,98.0,https://www.amazon.in/Net-Sangeet-Dr-Tej-Singh/dp/9385149164/ref=zg_bs_g_1318059031_d_sccl_8/000-0000000-0000000?psc=1,Good
88,trinity college london piano exam piece plus exercise 2021 2023 initial extended edition,Trinity College London,"Arts, Film & Photography",Music,Sheet music,1142.0,4.5,161.0,https://www.amazon.in/Trinity-College-London-Exercises-2021-2023/dp/0857369288/ref=zg_bs_g_1318059031_d_sccl_9/000-0000000-0000000?psc=1,Good
89,concept vocal music class 12 second edition,Pt. Satish Chandra Srivastava,"Arts, Film & Photography",Music,Hardcover,159.0,4.5,8.0,https://www.amazon.in/Concepts-Vocal-Music-Class-Second/dp/B09Z5ZMJR2/ref=zg_bs_g_1318059031_d_sccl_10/000-0000000-0000000?psc=1,Good
90,piano adventure primer level lesson book,Nancy Faber,"Arts, Film & Photography",Music,Paperback,772.0,4.8,6322.0,https://www.amazon.in/Piano-Adventures-Lesson-Primer-Level/dp/1616770759/ref=zg_bs_g_1318059031_d_sccl_11/000-0000000-0000000?psc=1,Good
91,ganamrutha bodhini sangeetha bala padam english varna malika english latest version,Sangeetha Vidwan A.S. Panchapakesa Iyer,"Arts, Film & Photography",Music,Paperback,850.0,4.6,82.0,https://www.amazon.in/Ganamrutha-Bodhini-Sangeetha-English-versions/dp/B08W5833SN/ref=zg_bs_g_1318059031_d_sccl_12/000-0000000-0000000?psc=1,Good
92,trinity college london piano exam piece plus exercise 2023 grade 1 extended edition 21 piece trinity college london exam 2023,Trinity College London,"Arts, Film & Photography",Music,Sheet music,1552.0,4.4,5.0,https://www.amazon.in/Trinity-College-London-Pieces-Exercises/dp/1804903280/ref=zg_bs_g_1318059031_d_sccl_13/000-0000000-0000000?psc=1,Good
93,best taylor swift song collection,Aishi,"Arts, Film & Photography",Music,Paperback,260.0,3.9,9.0,https://www.amazon.in/Best-Taylor-Swift-Song-collection/dp/1649513844/ref=zg_bs_g_1318059031_d_sccl_14/000-0000000-0000000?psc=1,Good
